20-04-24_13-53	20-04-24 16:42		4	rewritten	1
20-04-24_17-59	20-04-24 20:52		4	rewritten	1
20-04-24_20-52	21-04-24 06:14		4	baseline	1
21-04-24_06-14	21-04-24 08:55		8	rewritten	1
21-04-24_08-55	21-04-24 18:16		8	baseline	1
21-04-24_18-16	21-04-24 20:55		16	rewritten	1
21-04-24_20-55	22-04-24 06:12		16	baseline	1
22-04-24_06-12	22-04-24 08:55		16	rewritten	1
22-04-24_08-55	22-04-24 11:38		16	rewritten	1
22-04-24_11-38	22-04-24 14:24		16	rewritten	1
22-04-24_14-24	22-04-24 17:11	1Gbs	4	rewritten	1
22-04-24_17-11	23-04-24 02:32	1Gbs	4	baseline	1
23-04-24_02-32	23-04-24 05:11	1Gbs	8	rewritten	1
23-04-24_05-11	23-04-24 14:41	1Gbs	8	baseline	1
23-04-24_14-41	23-04-24 17:18	1Gbs	16	rewritten	1
23-04-24_17-18	24-04-24 02:29	1Gbs	16	baseline	1
24-04-24_02-29	24-04-24 05:06	1Gbs	16	rewritten	1
24-04-24_09-04	24-04-24 11:53		4	rewritten	2
24-04-24_11-53	24-04-24 21:16		4	baseline	2
24-04-24_21-16	24-04-24 23:55		8	rewritten	2
24-04-24_23-55	25-04-24 09:14		8	baseline	2
25-04-24_09-14	25-04-24 11:51		16	rewritten	2